instrumentalness,danceability,loudness,acousticness,valence,time_signature,target
0.00699,0.527,-15.769,0.693,0.543,4,0
0.0,0.738,-5.485,0.559,0.309,4,1
0.495,0.736,-10.662,0.693,0.265,4,0
0.926,0.565,-13.086,0.655,0.763,4,0
0.00339,0.513,-10.077,1.72e-05,0.961,4,0
0.179,0.166,-4.529,0.147,0.609,4,0
0.000673,0.679,-8.601,0.0913,0.9,4,1
0.00943,0.811,-10.408,0.00469,0.273,4,1
0.0,0.528,-15.784,0.641,0.191,4,1
0.134,0.207,-5.564,0.000118,0.323,4,0
0.00111,0.705,-7.253,0.103,0.665,4,1
7.28e-05,0.643,-8.535,0.0357,0.616,4,0
0.0,0.567,-27.025,0.706,0.54,4,0
0.0,0.62,-6.805,0.00591,0.339,4,1
0.00154,0.295,-13.146,0.916,0.0786,4,0
0.0,0.53,-5.987,0.444,0.338,4,1
0.00539,0.534,-7.978,0.0359,0.686,4,1
0.0,0.461,-7.662,0.0275,0.371,4,0
0.0,0.486,-11.864,0.83,0.329,4,0
0.00221,0.647,-12.144,0.0498,0.706,4,1
0.00529,0.666,-7.859,3.86e-05,0.563,4,0
7.36e-06,0.48,-5.441,0.66,0.733,3,0
0.322,0.273,-4.981,0.0153,0.777,4,0
0.0,0.648,-3.834,0.288,0.808,4,1
0.511,0.709,-7.273,0.101,0.502,4,0
0.000454,0.433,-5.415,0.00338,0.632,4,0
0.0588,0.562,-8.283,1.21e-05,0.524,4,1
0.0,0.614,-4.811,0.63,0.772,4,0
0.781,0.278,-35.603,0.986,0.598,3,0
0.000319,0.814,-10.198,0.0464,0.556,4,1
0.0,0.882,-6.324,0.449,0.81,4,0
0.0,0.688,-9.601,0.286,0.45,4,1
0.286,0.482,-14.606,0.946,0.237,4,0
0.0702,0.743,-4.547,0.0108,0.934,4,1
0.00752,0.588,-8.511,0.0808,0.978,4,0
0.00241,0.43,-8.334,0.0723,0.14,4,0
0.0,0.711,-8.135,0.273,0.392,4,1
0.0,0.561,-4.854,0.0211,0.518,4,1
0.0,0.614,-3.97,0.413,0.956,4,1
0.0,0.631,-12.136,0.275,0.627,4,0
2.02e-05,0.497,-7.412,0.00758,0.287,4,0
8.9e-06,0.69,-6.392,0.106,0.902,4,1
0.912,0.152,-5.783,0.00347,0.283,4,0
2.59e-06,0.672,-9.754,0.436,0.846,4,0
0.734,0.251,-15.731,0.000124,0.0315,4,0
0.228,0.685,-13.102,0.491,0.864,4,0
9.43e-06,0.879,-7.682,0.0474,0.523,4,1
0.0565,0.347,-6.839,0.364,0.449,4,0
0.0,0.319,-6.067,0.124,0.714,4,0
0.795,0.174,-20.169,0.0402,0.0489,3,0
1.11e-05,0.327,-6.617,3.28e-05,0.342,3,0
0.928,0.595,-13.383,0.00262,0.75,4,0
0.915,0.735,-7.341,0.195,0.848,4,0
0.0,0.381,-10.298,0.675,0.257,3,1
0.329,0.526,-14.569,0.918,0.292,4,0
